"","area_worst","concave.points_mean","concave.points_worst","perimeter_worst","radius_worst"
"21",630.5,0.0311,0.07283,96.09,14.5
"22",314.9,0.02076,0.06227,65.13,10.23
"38",545.9,0.02923,0.05013,84.46,13.3
"47",242.2,0.005917,0.02564,57.26,8.964
"49",582.6,0.02749,0.06548,89.88,13.76
"51",516.5,0.01115,0.03715,82.98,12.98
"52",656.7,0.01723,0.08586,96.08,14.67
"53",527.2,0.01349,0.06296,83.67,13.1
"56",506.2,0.02278,0.06316,81.81,12.84
"59",624.1,0.004167,0.01111,90.24,14.23
"61",368.6,0.0129,0.02579,69.86,11.02
"62",273.9,0.009259,0.02778,62.06,9.565
"67",330.7,0.01504,0.06517,67.03,10.41
"69",324.7,0.04375,0.175,65.5,10.31
"70",554.9,0.02864,0.05882,85.67,13.46
"72",284.4,0.02872,0.04786,62.56,9.733
"77",605.5,0.06556,0.07407,91.36,14.08
"80",622.1,0.02315,0.07926,91.88,14.24
"81",525.1,0.02233,0.06127,84.53,13.11
"82",614.9,0.06987,0.1708,96.66,15.53
"85",567.9,0.01863,0.07632,87.78,13.67
"89",574.7,0.03745,0.1205,91.46,13.83
"90",803.6,0.07064,0.1397,109.4,16.34
"91",803.7,0.02957,0.06946,102.9,16.11
"94",699.4,0.0278,0.07911,97.59,15.1
"97",495.2,0.02941,0.05882,82.14,12.83
"98",366.1,0.007937,0.02381,68.81,10.92
"99",512.5,0.0335,0.08449,82.96,13.06
"102",185.2,0,0,50.41,7.93
"103",547.8,0.0177,0.07431,84.58,13.34
"104",361.2,0.03029,0.09749,72.22,10.76
"105",402.8,0.01201,0.03203,74.22,11.54
"107",521.7,0.03485,0.1218,85.51,13.14
"108",544.1,0.01921,0.08442,85.56,13.29
"111",367,0.01778,0.05334,71.68,11.05
"112",527.4,0.06021,0.1105,89,13.33
"114",374.4,0.03068,0.06136,72.62,11.16
"115",284.4,0.01924,0.105,64.48,9.628
"116",583,0.02008,0.07247,87.54,13.67
"117",270,0.02308,0.03846,63.34,9.414
"121",510.5,0.02623,0.08958,83.74,12.82
"124",745.5,0.05778,0.1221,102.8,15.7
"125",632.1,0.028,0.08978,91.99,14.26
"126",725.9,0.01141,0.05104,100.3,15.49
"129",762.6,0.08534,0.1423,105.9,16.11
"140",434,0.04796,0.08611,76.53,11.92
"141",342.9,0,0,66.53,10.62
"143",503,0.01861,0.06402,82.66,12.78
"145",441.2,0.007875,0.03413,77.79,11.95
"148",809.7,0.03562,0.08405,107.1,16.25
"150",725.9,0.01329,0.06019,97.19,15.34
"152",249.8,0.02168,0.07879,58.08,9.092
"153",380.5,0.07857,0.1571,71.04,11.02
"154",440.8,0.01786,0.05506,76.25,11.99
"158",1032,0.02771,0.08436,120.3,18.22
"159",532.8,0.01963,0.07025,84.08,13.14
"160",470,0.006588,0.03953,78.07,12.36
"166",782.1,0.01939,0.05754,102.3,15.98
"167",414,0.01698,0.04603,73.66,11.6
"171",549.1,0.037,0.09391,86.97,13.5
"174",396.5,0.02583,0.04306,72.01,11.35
"179",608.8,0.001852,0.009259,88.18,14
"180",570.7,0.0133,0.0399,86.7,13.63
"184",467.2,0.02361,0.06296,79.12,12.37
"186",437,0.002404,0.01042,75.39,11.87
"188",521.5,0.03239,0.1099,84.42,13.01
"192",579.5,0.02864,0.04773,89.04,13.75
"193",303.8,0,0,62.25,9.968
"196",600.6,0.02377,0.08235,90.81,13.88
"201",638.4,0.04107,0.108,92.15,14.44
"205",677.9,0.03821,0.1015,96.05,14.97
"209",639.3,0.05102,0.1126,99.48,14.55
"210",932.7,0.03157,0.1035,113.7,17.38
"212",546.3,0.01393,0.06913,85.22,13.3
"217",531.2,0.03142,0.1138,86.2,13.25
"218",403.7,0.01071,0.03571,75.4,11.48
"222",686.6,0.04451,0.0909,101.1,14.98
"225",708.8,0.02456,0.09678,98.84,15.14
"227",395.4,0.01216,0.04464,73.47,11.52
"228",808.2,0.0378,0.1379,114.2,16.41
"229",624,0.02036,0.118,90.67,14.2
"232",452.3,0.003125,0.02083,79.82,12.08
"233",470.9,0.006434,0.03002,78.44,12.36
"235",335.9,0.01667,0.07222,65.74,10.51
"236",715.5,0.01896,0.07963,98.27,15.33
"241",683.4,0.03731,0.09222,94.11,14.85
"242",543.4,0.01108,0.04052,83.85,13.2
"243",472.9,0.02854,0.1218,87.16,12.58
"244",706,0.02344,0.06106,98,15.01
"246",402.8,0.0307,0.06736,73.68,11.48
"248",639.1,0.0398,0.1561,105,14.39
"249",455.7,0.01615,0.06136,77.98,12.25
"252",508.9,0.02069,0.06544,83.12,12.97
"268",661.5,0.02142,0.06189,97.66,14.8
"269",597.5,0.01615,0.0578,89.27,13.9
"272",457.5,0.02755,0.0875,78.27,12.32
"279",739.1,0.01238,0.05185,98.91,15.5
"280",670,0.03711,0.09993,98.37,14.98
"282",533.7,0.02763,0.0829,84.7,13.31
"285",595.6,0.0339,0.1017,92.12,13.9
"286",564.1,0.002924,0.008772,85.56,13.5
"287",546.1,0.03791,0.1155,92.2,13.24
"290",459.3,0.02173,0.06203,79.29,12.36
"291",767.3,0.06602,0.1021,101.7,15.77
"292",809.8,0.04819,0.1489,109.1,16.25
"293",585.4,0.0337,0.1056,88.81,13.74
"294",517.8,0.0228,0.0914,84.35,13.06
"295",553.7,0.01924,0.06343,88.54,13.5
"297",392.2,0.01369,0.03194,72.42,11.37
"299",819.7,0.01374,0.0753,105.8,16.22
"300",362.7,0.01875,0.03125,70.1,10.93
"304",375.4,0.0178,0.06528,70.76,11.06
"306",476.5,0.01313,0.04815,81.39,12.44
"307",636.9,0.003261,0.025,92,14.41
"308",285.5,0.003472,0.01389,60.9,9.699
"309",698.7,0.004419,0.0221,95.48,14.97
"310",672.4,0.008829,0.03532,93.96,14.73
"312",840.8,0.01877,0.05813,103.7,16.46
"313",618.8,0.02548,0.08411,92.04,14.19
"315",240.1,0,0,56.65,8.952
"317",513.1,0.005051,0.01852,81.6,12.85
"319",297.1,0.04908,0.1145,68.62,10.06
"320",515.9,0.01699,0.02832,81.76,12.9
"321",390.4,0.03965,0.09744,71.53,11.28
"325",583.1,0.01692,0.05556,91.11,13.75
"327",749.9,0.02733,0.0589,98.4,15.53
"328",523.4,0.005592,0.02796,82.74,13.07
