"","area_worst","concave.points_mean","concave.points_worst","perimeter_worst","radius_worst"
"1",2019,0.1471,0.2654,184.6,25.38
"3",1709,0.1279,0.243,152.5,23.57
"5",1575,0.1043,0.1625,152.2,22.54
"7",1606,0.074,0.1932,153.2,22.88
"8",897,0.05985,0.1556,110.6,17.06
"9",739.3,0.09353,0.206,106.2,15.49
"10",711.4,0.08543,0.221,97.65,15.09
"11",1150,0.03323,0.09975,123.8,19.19
"12",1299,0.06606,0.181,136.5,20.42
"13",1332,0.1118,0.1767,151.7,20.96
"14",876.5,0.05364,0.1119,112,16.84
"15",697.7,0.08025,0.2208,108.8,15.03
"16",943.2,0.07364,0.1712,124.1,17.46
"17",1138,0.05259,0.1609,123.4,19.07
"18",1315,0.1028,0.2073,136.8,20.96
"19",2398,0.09498,0.2388,186.8,27.32
"23",980.9,0.09756,0.2393,125.1,18.07
"25",2215,0.0917,0.2095,177,26.46
"26",1461,0.1401,0.255,152.4,22.25
"27",896.9,0.08783,0.2701,122.4,17.62
"31",1670,0.1244,0.1848,160.5,23.15
"33",1344,0.1203,0.1847,136.1,20.88
"34",1813,0.07593,0.1785,161.4,24.15
"36",1229,0.06018,0.1813,133.5,20.01
"37",799.6,0.05598,0.1447,116.2,15.89
"39",698.8,0.02899,0.02899,95.54,14.99
"40",740.4,0.05439,0.2258,107.3,15.53
"41",787.9,0.02031,0.1112,102.5,15.93
"43",1651,0.09961,0.2493,177.4,24.09
"44",907.2,0.06158,0.1492,113.1,17.38
"45",740.7,0.05252,0.1607,105.5,16.23
"48",759.4,0.0734,0.2088,102.8,15.67
"54",1321,0.106,0.1325,135.1,20.6
"55",1030,0.03334,0.153,117.7,18.1
"58",985.5,0.08123,0.1834,115.7,17.87
"65",888.3,0.06873,0.1716,111.8,17.09
"66",925.1,0.09029,0.1614,114.6,17.31
"71",1866,0.07951,0.1789,165.9,24.86
"73",1681,0.07944,0.1899,151.6,23.32
"74",812.4,0.05069,0.1383,110.3,16.57
"76",1223,0.06638,0.152,128.8,19.77
"78",1610,0.108,0.2102,150.1,22.39
"79",1623,0.1604,0.2508,170.3,23.37
"83",2562,0.1845,0.2867,211.7,30
"84",1298,0.1469,0.1841,141.3,20.33
"86",1603,0.08795,0.1642,152.2,22.93
"88",1623,0.08271,0.1956,152.9,24.56
"95",1025,0.08815,0.2115,123.5,18.23
"100",826.4,0.05839,0.1565,109.5,16.33
"101",906.5,0.04489,0.1184,108.6,16.99
"106",827.2,0.09601,0.1986,106.4,16.31
"109",2360,0.1823,0.291,206.8,28.4
"118",1095,0.08923,0.2027,127.1,18.81
"119",1272,0.09479,0.2034,130.3,20.19
"127",848.7,0.03085,0.1329,113.2,16.89
"128",1538,0.05627,0.1218,148.2,22.32
"130",1589,0.1149,0.1732,148.7,22.63
"133",1175,0.05613,0.1312,129.7,19.47
"135",1590,0.06847,0.1379,145.6,22.52
"139",971.4,0.08624,0.1667,121.4,18.55
"142",1233,0.05943,0.1216,129,19.92
"147",591.7,0.07415,0.1865,91.93,13.74
"162",1495,0.09667,0.1777,146.6,22.03
